tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
12873,118605,True,Tue Oct 31 22:35:46 +0000 2017,"@MicrosoftHelps Yes, I am using wifi. Date and time are correct. Only this game can't be download Mobile Store. Other apps are fine.",12872,12874
12881,118606,True,Wed Nov 01 12:18:10 +0000 2017,@MicrosoftHelps okay. let me contact them,,12879
12887,118606,True,Fri Oct 27 17:28:16 +0000 2017,@MicrosoftHelps the screen saver cannot be stopped whenever I touch the mouse or any of the keys of the keyboard as it used to before...,12886,12888
13775,MicrosoftHelps,False,Tue Oct 31 02:43:52 +0000 2017,@118890 1/2 Your Internet Service Provider can check if they have another customer experiencing the same issue that you have with Windows https://t.co/3qcAsLFkaY,"13776,13777,13774",13778
13781,118890,True,Mon Oct 30 16:43:17 +0000 2017,"@MicrosoftHelps No, didn't modify modem. No, didn't ask dialup provider about problem with Windows 10.",13780,13782
13790,118890,True,Sun Oct 29 21:58:45 +0000 2017,"@MicrosoftHelps Brand new computer, setup, plugged 56k Zoom modem into USB port, configured dial-up parameters, connected, and immediate data flood...",,13789
12870,118604,True,Tue Oct 31 12:57:48 +0000 2017,@MicrosoftHelps To this account: __email__. This account is linked to my office 365.,,12869
4508,116767,True,Wed Nov 01 15:04:55 +0000 2017,@MicrosoftHelps Which would be my next step,4512,4507
9687,MicrosoftHelps,False,Thu Oct 26 10:13:55 +0000 2017,@117762 Just checking if you need further help. Is everything good now? https://t.co/3qcAsLFkaY,9685,9688
11892,118333,True,Fri Oct 27 19:43:19 +0000 2017,"@MicrosoftHelps Finally downloaded app but hangs on ""Just a moment"" then times out.","11891,11893",11894
11907,MicrosoftHelps,False,Wed Nov 01 00:59:24 +0000 2017,"@118337 Let's work on this, Claire. Are you getting an error message when resetting your password? Send us a screenshot through DM.",11908,11909
11911,118337,True,Wed Nov 01 17:42:37 +0000 2017,@MicrosoftHelps Says my information was not sufficient and submit a new form,"11912,11913",11910
12851,MicrosoftHelps,False,Wed Nov 01 01:37:52 +0000 2017,@118602 Hi. Let's take a look at this. Which Windows version are you using? Have you made any changes prior to the issue?,12852,12853
12874,MicrosoftHelps,False,Tue Oct 31 20:54:56 +0000 2017,"@118605 Hi, Yudhi. Let's sort this out. Are you using Wi-Fi? Can you check your phone's date and time? Have you tried any troubleshooting?",12873,12875
12880,118606,True,Wed Nov 01 12:31:39 +0000 2017,@MicrosoftHelps am in a different time zone and seems like you will come online at 4pm EAT. (in the next 30 minutes),,12879
12885,MicrosoftHelps,False,Sat Oct 28 04:34:00 +0000 2017,"@118606 Hi, Alice! Let's work on this together. Can you send us a screenshot or video, so we can easily figure it out?",12884,12886
13774,118890,True,Tue Oct 31 05:49:07 +0000 2017,@MicrosoftHelps Has any other Windows 10 user noticed massive data when first connecting to net?,13773,13775
13784,MicrosoftHelps,False,Mon Oct 30 01:01:00 +0000 2017,@118890 May we know what troubleshooting steps have you done so far?,"13785,13786,13783",13787
13787,118890,True,Sun Oct 29 22:18:25 +0000 2017,"@MicrosoftHelps When modem data flood stops for awhile, TELNET responds immediately, and all other net appls run normal dialup speed.","13788,13784",13789
4512,MicrosoftHelps,False,Wed Nov 01 16:24:32 +0000 2017,"@116767 Yikes! Just to clarify, which device are you using? Let's continue this troubleshooting via DM. We'll wait for you. https://t.co/3qcAsLFkaY",,4508
11882,118331,True,Thu Oct 26 17:29:08 +0000 2017,@MicrosoftHelps Which drivers do you want me to check? My GPU is running Nvidia 388.00 (latest) and I've checked the System Firmware too.,11881,11883
11884,118331,True,Thu Oct 26 14:53:54 +0000 2017,"@MicrosoftHelps I'm running Windows FCU 1709, and an Asus Prime X370-Pro motherboard. Let me know if you need any other info.",11883,11885
11894,MicrosoftHelps,False,Fri Oct 27 19:42:25 +0000 2017,@118333 2/2 Store app or via Microsoft Store online?,11892,11895
12857,MicrosoftHelps,False,Wed Nov 01 01:36:27 +0000 2017,@118603 We'd love to hear from you. Share us your thoughts about our support here: https://t.co/mDHzxcLaWY.,,12858
12865,118604,True,Tue Oct 31 23:21:32 +0000 2017,@MicrosoftHelps Thanks. Do you have any other suggestion?,12864,12866
12886,118606,True,Fri Oct 27 17:29:15 +0000 2017,@MicrosoftHelps i have to switch it off (to sleep) then back on to log on...kindly help!,12885,12887
13794,118890,True,Sat Oct 28 19:23:32 +0000 2017,"@MicrosoftHelps Brand new Acer Spin 1 running Windows 10, using 56k dialup modem; unknown process constantly churning modem hogging bandw.",13793,
9689,MicrosoftHelps,False,Wed Oct 25 03:40:50 +0000 2017,@117762 Thank you for your response. What was the feedback given to you by the support team? https://t.co/3qcAsLFkaY,,9688
11888,MicrosoftHelps,False,Sat Oct 28 00:23:26 +0000 2017,@118332 Hello. Let's get this sorted. Have you tried to delete the folder in safe mode? Please tell us more details about your concern.,,11887
11893,MicrosoftHelps,False,Fri Oct 27 22:52:28 +0000 2017,@118333 That's strange. It'd be best if you contact Skype team for them to have this checked: https://t.co/GXtywAwJoV. You'll be in good hands.,,11892
203,MicrosoftHelps,False,Tue Oct 31 22:08:00 +0000 2017,"@115751 Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from @XboxSupport.",204,205
9688,117762,True,Wed Oct 25 01:36:41 +0000 2017,"@MicrosoftHelps I was helped when I called support again. However, the address hasn't changed in the order status yet.","9689,9687",9690
12852,118602,True,Wed Nov 01 01:53:49 +0000 2017,@MicrosoftHelps Windows 10,12854,12851
12864,MicrosoftHelps,False,Wed Nov 01 01:36:27 +0000 2017,"@118604 To better assist you, send us a Direct Message. For security purposes, kindly delete your tweet that contains your email address.",,12865
12866,MicrosoftHelps,False,Tue Oct 31 13:25:56 +0000 2017,"@118604 2/2  Click ""Ask a Question"" on the upper right corner. Thank you.",12865,12867
13783,118890,True,Mon Oct 30 02:48:45 +0000 2017,"@MicrosoftHelps I.e. Task Manager claims no process is using even 1% of available net bandwidth, contrary to fact.",13782,13784
13786,118890,True,Mon Oct 30 02:39:45 +0000 2017,"@MicrosoftHelps In Task Manager I looked for any task using bandwidth, but total was 0%.",,13784
11896,MicrosoftHelps,False,Fri Oct 27 19:41:30 +0000 2017,"@118333 1/2 Hi there, Bill! Were here to help. Just to clarify, where are you trying yo download an app? Is it from the Windows",,11895
11899,MicrosoftHelps,False,Fri Oct 27 20:33:29 +0000 2017,"@118335 Let's investigate this, Domenico. Have you tried to change the wire of the monitor? Can you try to extend the screen?",,11898
2303,116231,True,Wed Nov 01 00:48:07 +0000 2017,"@MicrosoftHelps Thanks for the outstanding assistance, I get it, it is your company that takes the heat for these people hurting your rep",,2302
2304,116231,True,Wed Nov 01 00:53:20 +0000 2017,@MicrosoftHelps Or even worse hacking them and hurting them. Just trying to show my concern.,,2302
2306,116231,True,Tue Oct 31 20:18:53 +0000 2017,"@MicrosoftHelps I got a phone call claiming to be you but I discovered they weren’t. The number is +1(818)930-5703
They tried to bribe me.",2301,
9690,MicrosoftHelps,False,Wed Oct 25 01:03:00 +0000 2017,"@117762 Hello, James. Just doing a follow-up on your case. Are you successful in updating your address?",9688,9691
12861,118603,True,Mon Oct 30 16:12:49 +0000 2017,"@MicrosoftHelps (3/3) ... Windows didn't activate. Clicked ""try again"", and now the store is just sitting there with the ""thinking/working"" animation.",12860,12862
12875,118605,True,Tue Oct 31 14:38:26 +0000 2017,@MicrosoftHelps Microsoft Minesweeper game from Microsoft Store can't be installed on phone. It says error 0x803FB005.,12874,
13782,MicrosoftHelps,False,Mon Oct 30 05:24:50 +0000 2017,@118890 Did you modify your modem? Have you tried contacting your Internet Service Provider?,13781,13783
9686,MicrosoftHelps,False,Thu Oct 26 20:05:31 +0000 2017,@117762 That sounds good! Feel free to contact us if you need assistance. 🙂,,9685
13766,MicrosoftHelps,False,Thu Nov 02 01:52:00 +0000 2017,"@118889 Hi, Kyle. Just checking up on you. Were you able to recover your account?",1415015,13765
2292,116229,True,Tue Oct 31 21:09:31 +0000 2017,"@MicrosoftHelps Yes, none of it worked. I didn't try the reset because I don't want to reinstall everything. But when i went back to 1703 everything worked",2291,2293
8461,117488,True,Sat Nov 18 16:34:05 +0000 2017,"@MicrosoftHelps I have windows 10. I do not remember making any changes myself, but I did take the computer to a store to get it cleaned up. how could I get those troubleshooting steps?",8463,8460
11877,118331,True,Wed Nov 01 07:19:16 +0000 2017,@MicrosoftHelps Hey - I'm not entirely sure; it sort of resolved itself. I suspect it might have been either a Windows or Nvidia update but I'm not sure 🤔,11879,11876
11883,MicrosoftHelps,False,Thu Oct 26 16:30:01 +0000 2017,@118331 Hi. That's strange. Let's make sure that all your driver was updated. Here's how: https://t.co/paTrSXK1Xn. Update us.,11882,11884
11886,MicrosoftHelps,False,Wed Nov 01 01:13:00 +0000 2017,@118332 Hello. Just doing a follow-up on your case. Are you still experiencing the issue?,,11887
11889,MicrosoftHelps,False,Thu Oct 26 19:57:26 +0000 2017,@118332 Hi! Let's investigate this. Which version of Windows are you using? What do you mean by built-in administrator?,11887,11890
11908,118337,True,Wed Nov 01 07:45:47 +0000 2017,"@MicrosoftHelps Hi, I can't take a screen shot as it's the only place I'm logged in is there a way of someone telling me the password?",11910,11907
12867,118604,True,Tue Oct 31 13:00:43 +0000 2017,@MicrosoftHelps Would you mind if we discuss this matter via email instead?,"12866,12868",12869
9684,MicrosoftHelps,False,Wed Nov 01 00:06:53 +0000 2017,"@117762 We want to know your experience with us, James! Rate our support by clicking this link: https://t.co/V2K0N6f79E. Thanks!",,9685
9685,117762,True,Thu Oct 26 17:54:08 +0000 2017,"@MicrosoftHelps Seems to be good.  Support responded by email saying that the order status won't change online, but the warehouse will ship to the new addr.","9684,9686",9687
12877,118606,True,Wed Nov 01 11:19:08 +0000 2017,"@MicrosoftHelps apparently yes, i did the dism scan, but kept on giving me the error message of couldn't find the source files...",12879,12876
13793,MicrosoftHelps,False,Sat Oct 28 21:40:26 +0000 2017,"@118890 Hi. We're here to help. For us to assist you further, could you tell us more details about the issue?",13792,13794
7886,MicrosoftHelps,False,Thu Oct 26 17:58:26 +0000 2017,"@117342 Hi, John! Thank you for reaching out. You can contact our Groove support through this link: https://t.co/FrC82ogbx1.",,7885
